date,title,media_type,url
2020-01-01,Betelgeuse Imagined,image,https://apod.nasa.gov/apod/image/2001/BetelgeuseImagined_EsoCalcada_960.jpg
2020-01-02,The Fainting of Betelgeuse,image,https://apod.nasa.gov/apod/image/2001/OrionTrees123019Westlake1024.jpg
2020-01-03,Quadrantids over the Great Wall,image,https://apod.nasa.gov/apod/image/2001/QuadrantidsChineseGreatWall_1067.jpg
2020-01-04,Aurora Slathers Up the Sky,image,https://apod.nasa.gov/apod/image/2001/aurora_iss052e007857_1024.jpg
2020-01-05,A Starry Night of Iceland,image,https://apod.nasa.gov/apod/image/2001/aurora_vetter_1080.jpg
2020-01-06,Tumultuous Clouds of Jupiter,image,https://apod.nasa.gov/apod/image/2001/JupiterClouds_JunoGill_960.jpg
2020-01-07,IC 405: The Flaming Star Nebula,image,https://apod.nasa.gov/apod/image/2001/IC405hp_ColesHelm_960.jpg
2020-01-08,Galaxies in the River,image,https://apod.nasa.gov/apod/image/2001/NGC1532-final3_1024r.jpg
2020-01-09,Perihelion to Aphelion,image,https://apod.nasa.gov/apod/image/2001/peri-api-sun1024.jpg
2020-01-10,Nacreous Clouds over Sweden,image,https://apod.nasa.gov/apod/image/2001/NacreousPMHeden.jpg
2020-01-01,Betelgeuse Imagined,image,https://apod.nasa.gov/apod/image/2001/BetelgeuseImagined_EsoCalcada_960.jpg
2020-01-02,The Fainting of Betelgeuse,image,https://apod.nasa.gov/apod/image/2001/OrionTrees123019Westlake1024.jpg
2020-01-03,Quadrantids over the Great Wall,image,https://apod.nasa.gov/apod/image/2001/QuadrantidsChineseGreatWall_1067.jpg
2020-01-04,Aurora Slathers Up the Sky,image,https://apod.nasa.gov/apod/image/2001/aurora_iss052e007857_1024.jpg
2020-01-05,A Starry Night of Iceland,image,https://apod.nasa.gov/apod/image/2001/aurora_vetter_1080.jpg
2020-01-06,Tumultuous Clouds of Jupiter,image,https://apod.nasa.gov/apod/image/2001/JupiterClouds_JunoGill_960.jpg
2020-01-07,IC 405: The Flaming Star Nebula,image,https://apod.nasa.gov/apod/image/2001/IC405hp_ColesHelm_960.jpg
2020-01-08,Galaxies in the River,image,https://apod.nasa.gov/apod/image/2001/NGC1532-final3_1024r.jpg
2020-01-09,Perihelion to Aphelion,image,https://apod.nasa.gov/apod/image/2001/peri-api-sun1024.jpg
2020-01-10,Nacreous Clouds over Sweden,image,https://apod.nasa.gov/apod/image/2001/NacreousPMHeden.jpg
2020-01-01,Betelgeuse Imagined,image,https://apod.nasa.gov/apod/image/2001/BetelgeuseImagined_EsoCalcada_960.jpg
2020-01-02,The Fainting of Betelgeuse,image,https://apod.nasa.gov/apod/image/2001/OrionTrees123019Westlake1024.jpg
2020-01-03,Quadrantids over the Great Wall,image,https://apod.nasa.gov/apod/image/2001/QuadrantidsChineseGreatWall_1067.jpg
2020-01-04,Aurora Slathers Up the Sky,image,https://apod.nasa.gov/apod/image/2001/aurora_iss052e007857_1024.jpg
2020-01-05,A Starry Night of Iceland,image,https://apod.nasa.gov/apod/image/2001/aurora_vetter_1080.jpg
2020-01-06,Tumultuous Clouds of Jupiter,image,https://apod.nasa.gov/apod/image/2001/JupiterClouds_JunoGill_960.jpg
2020-01-07,IC 405: The Flaming Star Nebula,image,https://apod.nasa.gov/apod/image/2001/IC405hp_ColesHelm_960.jpg
2020-01-08,Galaxies in the River,image,https://apod.nasa.gov/apod/image/2001/NGC1532-final3_1024r.jpg
2020-01-09,Perihelion to Aphelion,image,https://apod.nasa.gov/apod/image/2001/peri-api-sun1024.jpg
2020-01-10,Nacreous Clouds over Sweden,image,https://apod.nasa.gov/apod/image/2001/NacreousPMHeden.jpg
2020-01-01,Betelgeuse Imagined,image,https://apod.nasa.gov/apod/image/2001/BetelgeuseImagined_EsoCalcada_960.jpg
2020-01-02,The Fainting of Betelgeuse,image,https://apod.nasa.gov/apod/image/2001/OrionTrees123019Westlake1024.jpg
2020-01-03,Quadrantids over the Great Wall,image,https://apod.nasa.gov/apod/image/2001/QuadrantidsChineseGreatWall_1067.jpg
2020-01-04,Aurora Slathers Up the Sky,image,https://apod.nasa.gov/apod/image/2001/aurora_iss052e007857_1024.jpg
2020-01-05,A Starry Night of Iceland,image,https://apod.nasa.gov/apod/image/2001/aurora_vetter_1080.jpg
2020-01-06,Tumultuous Clouds of Jupiter,image,https://apod.nasa.gov/apod/image/2001/JupiterClouds_JunoGill_960.jpg
2020-01-07,IC 405: The Flaming Star Nebula,image,https://apod.nasa.gov/apod/image/2001/IC405hp_ColesHelm_960.jpg
2020-01-08,Galaxies in the River,image,https://apod.nasa.gov/apod/image/2001/NGC1532-final3_1024r.jpg
2020-01-09,Perihelion to Aphelion,image,https://apod.nasa.gov/apod/image/2001/peri-api-sun1024.jpg
2020-01-10,Nacreous Clouds over Sweden,image,https://apod.nasa.gov/apod/image/2001/NacreousPMHeden.jpg
